delta,energy,energy_error,chk,chk_error
-1.545,-0.9937461150255018,0.0004908884367946465,0.01934218749999982,4.919667393443255e-5
-1.045,-1.0589216735221498,0.0004823571839130533,0.020316953125000158,4.945983854139255e-5
-0.545,-1.1275057599149498,0.0004607885543635365,0.021472421875000265,5.489293421286788e-5
-0.045,-1.202077570046626,0.0004605290059297682,0.02271671874999998,5.650058757458016e-5
0.455,-1.2819042706147883,0.0004511355078632211,0.024148125000000034,6.585040363215114e-5
0.955,-1.3672414618948814,0.0004452891083450369,0.02566249999999982,7.882228916139916e-5
1.455,-1.4585690981114219,0.0004488993185144228,0.027654218749999914,0.00010112003979647289
1.955,-1.554263533690019,0.0004727581573033179,0.02978183593749992,0.00013843667150039256
2.455,-1.656706632061713,0.00046909969987921757,0.03218281250000013,0.0001882675669518532
2.955,-1.7659384852809126,0.00045646894536441145,0.036468437500000186,0.0002857091627908857
3.455,-1.8811116321587953,0.00046676814248891607,0.04327089843749917,0.0005082869689855997
3.955,-2.0036493745318467,0.0004716046237110281,0.053139140625000206,0.001001643872183874
4.455,-2.1353361791006904,0.00047135279269008704,0.10297382812500008,0.004136396751360087
4.955,-2.2800433804428764,0.00048113175496089955,0.2343290234375018,0.004507503458253258
5.455,-2.4387647745016388,0.000496219610288324,0.2847382812500008,0.002834364622937417
5.955,-2.6074133719455617,0.0004870371798278825,0.3163627734374987,0.004327133378728376
6.455,-2.7850929306441294,0.0004971624287322917,0.3403426171874976,0.004567978534205679
6.955,-2.9725459128281493,0.0004990510408406008,0.3602114453124998,0.0034872015011110633
7.455,-3.1651183277632278,0.0005060119099003283,0.3768851171874957,0.003706930154941312
7.955,-3.3667858059357805,0.0005224267620661325,0.391314648437503,0.004033841614030718
8.455,-3.5724918329224664,0.0005159772459016331,0.40332238281249944,0.005295241250684451
8.955,-3.7842496811894293,0.0005235095524797458,0.4140282031249989,0.0007871798149058874
9.455,-4.000322363512808,0.0005362148856985729,0.4232458593750021,0.00014372910220007855
9.955,-4.220404374460422,0.0005373100679149851,0.43198042968750416,0.007203061570080825
10.455,-4.44408325987121,0.0005502837767375802,0.43875292968749907,0.004785019842272756
10.955,-4.6719602734809165,0.0005569964852442877,0.44474687500000454,0.0003224123184296537
11.455,-4.901500153219235,0.0005488318480869082,0.4499621874999992,0.00025126506025351173
11.955,-5.134676513676403,0.0005669824389396181,0.4542801562499974,0.004318709402789332
12.455,-5.3693297711627785,0.0005725143902881349,0.45779867187499773,0.003576610001171891
12.955,-5.60530327203384,0.0005739411284920331,0.4610886328125033,0.003730622983950009
13.455,-5.8429728884880845,0.0005977303782658946,0.46369347656249765,0.00011075017546631831
